N,P,K,temperature,humidity,ph,rainfall,label
42.54,64.11,24.11,32.13,72.58,5.36,84.96,blackgram
34.34,46.49,64.09,30.39,31.61,6.16,34.54,mothbeans
93.7,25.28,29.42,21.51,95.86,6.08,248.96,coffee
39.88,73.02,55.35,24.48,85.77,6.27,34.75,mungbean
59.17,60.22,45.41,28.54,75.15,6.49,84.13,blackgram
18.11,98.66,92.31,20.21,36.57,5.71,97.76,kidneybeans
94.55,39.44,60.52,35.82,94.54,6.92,41.4,muskmelon
104.02,76.65,55.19,34.26,99.25,6.59,192.26,banana
27.42,32.25,43.5,27.29,60.57,5.75,104.28,mango
11.38,13.35,47.49,29.09,94.25,5.9,193.52,pomegranate
78.23,48.6,38.32,22.82,86.96,6.03,237.55,rice
79.97,50.11,51.83,25.07,97.91,6.69,162.16,jute
24.84,26.98,56.24,28.88,82.04,6.89,160.25,coconut
73.15,42.92,47.55,39.02,91.45,6.3,129.63,papaya
25.16,98.69,86.71,29.76,39.37,6.45,86.64,kidneybeans
40.73,22.47,65.51,25.19,90.16,6.85,168.4,papaya
99.54,34.13,53.02,39.74,86.67,5.57,82.66,watermelon
17.96,64.06,38.9,32.86,87.59,6.3,55.69,mungbean
49.21,58.58,25.6,24.36,69.27,6.11,84.68,blackgram
81.55,17.47,73.25,36.27,83.51,6.07,103.36,watermelon
15.11,74.1,73.23,18.61,60.19,6.63,97.29,pigeonpeas
21.82,46.05,42.12,36.36,33.74,5.63,64.39,mothbeans
12.5,194.28,220.58,32.68,84.56,6.02,98.51,grapes
28.91,49.94,51.16,27.7,84.43,6.85,76.81,mungbean
15.94,82.61,88.56,29.44,29.82,6.02,64.56,chickpea
89.76,51.01,77.1,30.96,76.3,6.18,109.28,maize
15.77,18.12,74.16,30.58,92.28,5.75,144.97,pomegranate
11.57,182.63,239.19,37.57,82.54,5.85,114.17,grapes
98.53,30.36,59.1,20.65,93.37,6.29,298.94,rice
18.13,48.09,39.41,24.35,82.15,6.62,75.39,mungbean
19.46,22.75,21.07,10.28,93.48,6.56,194.26,orange
101.15,83.38,60.77,27.96,95.13,5.78,108.5,banana
16.03,15.58,50.19,24.71,91.8,6.21,109.89,pomegranate
20.87,73.38,71.05,10.48,35.62,5.91,80.72,chickpea
112.32,100.71,44.56,34.66,95.86,6.37,164.64,banana
38.0,15.87,70.58,18.52,91.88,5.69,135.25,pomegranate
64.71,67.3,68.22,27.42,69.54,7.16,72.39,maize
111.18,20.1,73.19,35.26,89.46,6.11,116.2,watermelon
34.05,42.81,34.58,36.89,65.6,5.73,68.3,blackgram
96.44,35.17,67.97,35.38,80.52,6.79,95.83,watermelon
38.92,96.38,98.89,23.0,45.84,5.7,111.62,kidneybeans
24.0,124.22,182.63,34.54,82.69,6.26,72.02,grapes
20.38,99.02,95.64,26.45,17.45,6.79,96.91,chickpea
36.79,20.27,79.93,18.08,90.14,6.9,119.95,pomegranate
62.05,68.63,45.69,35.34,81.36,6.11,200.89,jute
27.45,57.46,47.4,29.3,87.59,6.48,47.65,mungbean
97.21,20.99,75.51,24.65,89.14,6.75,79.76,watermelon
109.42,36.55,44.54,35.53,85.0,6.84,141.99,watermelon
131.11,53.41,27.64,42.85,64.12,6.9,87.19,cotton
34.71,98.2,102.85,15.02,38.36,5.58,90.3,kidneybeans
34.87,12.18,33.24,31.71,81.48,6.86,128.74,coconut
23.28,51.45,44.61,27.4,29.29,6.53,61.99,lentil
57.53,64.56,49.51,27.64,79.55,6.08,73.9,blackgram
34.51,29.61,73.57,38.78,91.36,5.79,148.4,pomegranate
60.44,54.11,87.0,32.86,67.92,6.7,99.9,maize
125.64,58.52,27.31,23.92,71.68,6.65,82.12,cotton
37.24,38.35,40.25,28.21,90.12,7.04,151.84,pomegranate
30.78,65.38,81.98,20.38,43.74,5.92,88.43,kidneybeans
43.84,53.02,24.93,25.63,73.2,7.26,73.76,blackgram
20.14,53.8,31.75,17.44,33.09,6.31,32.34,lentil
23.79,24.97,31.44,34.95,65.1,7.03,143.38,mango
54.74,48.4,72.82,42.08,90.86,6.27,128.56,papaya
23.06,77.62,30.35,15.82,19.31,6.63,38.79,lentil
36.82,77.86,56.78,27.55,87.8,6.68,54.88,mungbean
33.89,50.88,50.77,24.75,89.39,6.84,46.23,mungbean
25.21,47.52,32.31,32.53,83.83,7.02,62.98,mungbean
34.85,73.41,76.95,25.68,44.43,5.65,89.59,kidneybeans
71.73,76.89,60.39,19.45,56.24,5.55,70.89,maize
32.7,93.3,76.42,30.14,65.82,5.03,64.29,pigeonpeas
11.57,76.75,80.41,24.62,39.51,5.88,86.17,chickpea
131.29,46.37,26.43,41.63,76.01,7.1,90.48,cotton
80.41,55.87,75.05,31.4,85.59,6.23,237.43,jute
25.0,43.1,45.93,31.67,56.07,5.48,64.08,mothbeans
83.43,58.21,47.26,25.82,89.65,6.19,231.84,rice
35.62,33.15,42.59,31.66,91.18,6.45,195.69,pomegranate
9.59,26.21,23.79,28.12,93.49,6.47,109.97,orange
14.48,29.45,33.45,37.96,68.39,5.81,195.86,mango
50.64,28.49,61.97,43.98,94.99,6.24,172.7,papaya
21.06,20.26,27.44,17.22,90.43,7.4,137.82,orange
15.89,16.96,20.41,26.38,92.09,7.07,186.12,orange
98.0,97.72,69.33,39.93,82.19,6.31,153.33,banana
14.83,165.05,246.06,8.14,81.19,6.91,66.98,grapes
18.55,72.29,102.12,20.78,22.09,6.42,88.65,chickpea
21.25,13.21,59.75,37.23,94.44,5.52,188.63,pomegranate
94.18,64.77,67.42,32.8,63.36,6.53,81.55,maize
37.5,34.02,39.02,35.5,67.59,6.48,111.15,mango
2.03,24.47,26.12,17.24,93.32,6.64,188.91,orange
53.39,37.82,67.95,39.08,92.46,6.91,148.92,papaya
19.86,95.06,75.3,37.04,63.7,6.32,94.26,pigeonpeas
84.96,26.8,47.77,30.65,91.92,6.74,50.97,muskmelon
119.55,33.75,55.98,37.37,93.65,6.75,27.85,muskmelon
37.88,76.2,106.24,19.82,33.25,5.84,105.62,kidneybeans
29.49,63.36,55.44,27.52,59.61,5.29,67.41,pigeonpeas
53.92,68.41,46.55,34.35,69.16,5.7,98.53,blackgram
17.12,80.49,74.17,20.77,33.61,6.48,118.02,kidneybeans
102.81,12.14,45.62,33.96,82.08,6.26,104.49,watermelon
35.06,60.59,85.16,20.06,18.62,5.69,96.55,kidneybeans
20.78,18.78,46.97,35.41,94.78,6.2,195.24,pomegranate
97.27,68.47,27.02,22.64,84.02,6.4,267.56,coffee
99.58,42.81,30.28,24.82,89.03,6.48,189.12,coffee
15.42,58.06,25.96,18.7,21.97,6.83,53.52,lentil
16.54,24.38,156.29,14.73,92.63,5.8,145.19,apple
27.89,149.28,236.5,27.36,80.58,5.69,92.58,grapes
42.57,26.09,40.94,31.59,92.68,6.91,184.66,papaya
39.37,84.14,84.31,24.72,21.93,6.83,100.12,kidneybeans
81.06,71.95,62.45,19.03,57.41,5.82,112.31,maize
128.32,35.98,36.11,40.95,55.46,6.55,60.12,cotton
112.01,79.67,42.72,29.75,81.67,6.26,177.77,banana
10.63,63.29,108.71,15.91,34.0,6.44,75.28,chickpea
12.45,25.36,10.81,13.07,91.02,6.6,184.57,orange
8.17,26.64,29.61,22.35,90.05,6.21,132.21,orange
90.0,12.62,67.62,33.16,84.05,6.05,71.68,watermelon
23.48,47.25,40.04,32.96,45.67,6.9,48.07,mothbeans
94.22,51.11,44.23,21.47,87.37,6.21,175.98,rice
32.34,133.46,193.3,25.05,81.43,5.87,100.17,grapes
12.3,50.13,40.11,24.63,24.68,6.73,46.62,lentil
102.94,18.61,74.46,39.07,85.18,6.03,73.41,watermelon
22.27,87.97,69.16,28.64,63.05,6.52,84.71,pigeonpeas
19.46,61.79,27.11,16.45,18.65,7.2,57.1,lentil
60.52,69.91,65.34,34.34,54.46,6.33,65.12,maize
18.96,97.63,80.37,18.59,36.69,6.76,67.44,chickpea
32.87,91.91,87.42,26.36,17.13,6.32,60.23,chickpea
29.86,82.31,99.23,19.3,15.56,6.34,98.31,chickpea
109.73,45.63,57.6,26.92,75.05,7.48,82.41,cotton
74.88,53.29,40.22,33.96,92.88,6.14,262.63,rice
36.7,73.84,76.18,15.38,38.67,6.46,93.62,kidneybeans
117.09,24.53,25.67,15.43,82.09,6.1,295.51,coffee
114.81,41.03,43.36,38.24,92.36,6.74,25.6,muskmelon
89.31,89.68,52.41,27.73,87.6,5.98,125.81,banana
38.72,60.35,109.91,25.15,44.51,5.94,80.57,kidneybeans
17.0,24.18,169.06,10.3,93.64,6.18,185.67,apple
15.62,39.69,175.49,10.56,91.99,5.54,133.56,apple
30.81,39.25,78.49,23.17,90.5,5.75,170.2,pomegranate
83.8,36.04,39.36,23.09,83.16,6.43,217.13,coffee
141.72,44.43,42.55,24.67,56.99,6.43,66.39,cotton
20.43,86.6,101.82,28.54,20.1,6.1,66.1,chickpea
25.35,193.48,243.29,13.79,81.83,6.43,66.16,grapes
13.16,86.27,102.88,17.61,34.17,6.95,68.15,chickpea
17.03,20.43,35.16,30.36,84.82,5.48,141.04,coconut
129.38,44.14,36.71,35.34,69.17,7.4,81.68,cotton
21.93,22.5,53.39,35.62,87.79,7.57,178.28,coconut
10.61,20.48,45.15,32.78,94.61,7.73,132.34,coconut
22.82,10.63,177.89,9.49,92.53,6.34,131.34,apple
6.48,33.63,195.66,19.95,94.61,6.97,101.07,apple
27.24,49.84,64.61,26.94,41.26,3.55,54.08,mothbeans
32.65,34.11,62.12,28.75,90.57,5.64,133.96,pomegranate
37.74,161.37,188.19,27.54,80.63,6.39,88.77,grapes
91.81,38.12,43.17,21.18,80.38,6.94,275.4,rice
32.54,23.57,35.95,32.43,91.87,6.43,207.32,coconut
111.42,46.02,48.74,34.01,91.96,6.99,39.15,muskmelon
99.12,41.49,20.55,27.05,92.07,6.1,287.94,coffee
35.78,55.9,24.84,32.01,77.08,6.9,66.16,blackgram
89.71,62.76,70.38,24.31,79.63,5.58,112.02,maize
7.03,29.23,177.59,15.79,91.29,6.92,116.98,apple
34.84,17.66,47.67,34.93,83.62,5.5,294.42,coconut
36.32,69.55,30.41,24.47,82.14,6.47,42.38,mungbean
20.74,79.69,40.53,29.23,17.71,6.57,52.19,lentil
116.69,28.55,44.14,31.33,91.88,6.58,37.55,muskmelon
3.11,26.26,10.78,26.47,91.36,7.31,148.5,orange
36.31,25.83,53.37,22.57,94.0,6.56,146.81,pomegranate
21.17,49.55,58.63,26.63,54.61,6.34,53.82,mothbeans
22.55,70.04,33.04,25.0,82.76,6.63,79.02,mungbean
85.1,47.53,57.03,20.68,84.21,6.93,283.54,rice
116.48,45.26,42.81,38.24,66.76,7.81,88.0,cotton
36.89,184.54,180.26,19.84,82.11,5.84,68.97,grapes
90.74,28.79,43.06,35.29,91.97,6.27,20.14,muskmelon
36.4,86.04,91.32,16.49,22.66,6.5,99.77,chickpea
19.29,48.91,49.17,38.16,50.33,5.84,69.94,mothbeans
22.36,62.94,62.16,18.8,65.06,5.42,73.13,pigeonpeas
4.58,38.41,183.87,0.61,92.06,6.0,166.94,apple
90.81,42.91,60.73,31.39,83.14,6.37,122.99,watermelon
82.07,30.55,23.72,18.76,92.55,6.28,241.82,coffee
138.33,44.49,48.04,23.5,78.68,7.06,74.61,cotton
34.18,91.6,82.19,11.62,24.48,5.76,87.8,chickpea
69.7,33.45,48.32,24.33,88.72,5.73,222.17,rice
26.47,51.51,39.2,26.35,86.21,6.53,66.63,mungbean
42.28,46.94,35.07,34.24,79.37,5.55,95.45,blackgram
26.24,52.58,21.71,16.58,29.23,6.82,39.35,lentil
36.68,90.85,62.35,21.68,68.24,6.06,94.09,pigeonpeas
22.88,157.66,191.02,9.15,84.73,5.86,71.8,grapes
26.92,23.12,27.64,22.13,92.71,7.38,189.99,orange
34.89,59.85,24.24,31.99,67.78,5.7,68.75,blackgram
21.74,76.81,79.07,31.89,61.58,6.13,98.98,pigeonpeas
94.47,78.38,71.2,22.6,69.32,6.32,61.52,maize
34.71,24.43,66.96,27.57,92.79,5.6,169.63,pomegranate
68.01,55.02,63.14,28.82,71.19,5.56,116.17,maize
33.16,61.09,72.61,19.28,37.64,6.31,79.91,chickpea
92.39,36.55,66.63,28.58,84.6,5.79,71.04,watermelon
79.71,30.34,44.06,20.84,81.78,5.68,247.38,rice
29.99,27.48,59.52,22.1,94.47,5.92,109.13,pomegranate
33.05,71.55,62.27,28.48,44.05,5.05,66.11,pigeonpeas
9.63,20.09,176.71,20.6,90.52,6.91,179.51,apple
10.45,27.8,37.35,35.03,92.17,7.58,298.32,coconut
138.82,53.84,44.0,39.18,58.54,7.67,95.28,cotton
90.61,46.16,52.83,32.84,80.51,5.57,122.04,watermelon
31.15,72.69,46.39,37.41,80.52,6.7,65.92,mungbean
113.8,85.8,42.05,31.03,91.84,6.18,174.9,banana
99.28,41.89,76.12,37.03,86.28,6.97,178.79,jute
18.18,76.54,74.88,13.62,31.71,5.77,81.01,chickpea
62.41,20.2,50.5,25.79,91.53,6.74,104.75,papaya
104.2,32.4,59.46,32.08,81.76,6.72,104.18,watermelon
104.29,68.78,16.74,39.08,70.75,6.74,63.29,cotton
19.74,74.66,85.85,23.91,24.1,6.17,69.5,chickpea
83.83,24.18,50.04,38.65,94.26,6.58,40.81,muskmelon
11.7,54.96,58.33,31.55,86.71,6.83,39.95,mungbean
92.87,43.67,73.94,30.63,85.07,6.87,193.2,jute
132.35,49.77,42.91,34.06,77.19,7.41,86.71,cotton
32.5,15.27,54.88,18.62,90.69,5.79,105.44,pomegranate
87.09,63.65,57.14,23.57,88.14,6.13,296.92,coffee
58.71,36.3,75.8,32.86,94.81,6.42,160.11,papaya
20.77,64.81,35.74,34.85,68.52,5.86,61.2,blackgram
85.38,34.47,53.12,22.97,90.62,6.34,245.61,coffee
27.01,89.54,105.14,18.08,22.5,6.5,92.31,chickpea
35.79,176.78,213.76,27.25,84.88,6.95,70.07,grapes
25.7,71.49,101.71,21.55,30.5,6.7,75.84,chickpea
87.83,44.26,59.24,21.31,86.71,6.04,232.54,coffee
34.48,21.35,31.77,29.48,79.44,6.76,135.78,mango
144.51,64.36,18.45,23.55,69.86,7.22,73.75,cotton
29.53,185.96,209.24,10.7,81.37,6.97,96.74,grapes
31.27,64.28,92.69,15.13,39.04,6.23,92.24,chickpea
29.04,40.12,190.56,0.82,92.34,6.47,183.0,apple
23.42,84.02,90.63,28.39,26.92,6.99,94.06,chickpea
11.13,171.47,198.38,9.94,81.15,6.7,114.6,grapes
62.2,17.52,74.39,30.16,91.13,6.48,149.89,papaya
28.79,79.56,86.07,29.91,46.17,6.44,102.78,kidneybeans
34.98,74.12,45.99,15.89,31.99,6.21,46.63,lentil
38.71,23.94,47.88,32.06,85.47,6.06,227.27,coconut
60.41,15.11,69.56,32.94,91.31,6.38,149.78,papaya
34.94,83.96,74.6,16.41,47.11,6.5,113.17,kidneybeans
30.37,24.5,58.95,29.86,80.28,6.64,241.36,coconut
26.2,25.8,166.75,5.18,91.89,5.98,167.73,apple
88.53,52.82,46.84,31.56,87.41,6.28,214.13,rice
94.07,106.38,62.76,36.43,95.3,6.01,143.37,banana
16.15,95.11,105.18,27.41,20.21,6.18,99.4,chickpea
119.82,10.9,44.51,33.75,88.21,5.93,73.92,watermelon
93.92,105.82,78.66,31.65,83.02,6.29,168.78,banana
12.22,55.02,54.11,27.8,89.97,6.76,46.06,mungbean
90.27,25.04,50.28,23.84,92.86,6.43,222.96,coffee
10.45,78.6,37.53,32.17,87.07,6.81,45.65,mungbean
26.64,74.78,38.94,26.77,29.56,6.62,68.32,lentil
22.58,15.35,76.98,34.77,92.41,6.66,189.73,pomegranate
14.61,44.0,46.13,36.27,35.34,3.57,77.21,mothbeans
0.61,22.09,15.54,31.56,91.42,7.03,167.42,orange
142.38,69.7,45.57,43.48,79.81,7.69,88.46,cotton
17.75,17.3,39.16,36.15,56.18,6.92,92.33,mango
111.57,11.25,78.67,32.43,83.03,6.04,56.64,watermelon
25.29,67.02,74.19,35.77,65.54,5.87,90.35,pigeonpeas
101.01,56.83,36.12,29.32,80.87,7.71,61.12,cotton
37.21,166.99,185.98,24.64,83.78,6.69,89.62,grapes
145.09,35.09,52.07,30.84,84.72,6.94,87.69,cotton
21.07,60.72,30.32,22.81,25.46,7.32,50.22,lentil
13.58,22.98,47.01,33.09,80.48,6.41,284.92,coconut
100.05,19.57,63.6,31.09,92.23,6.36,20.68,muskmelon
81.91,15.9,53.95,37.28,94.46,6.19,44.79,muskmelon
37.55,78.04,47.31,26.43,87.88,6.45,58.2,mungbean
14.7,70.0,64.66,32.03,69.59,5.88,80.73,pigeonpeas
10.54,98.51,99.07,19.57,44.54,5.92,114.91,kidneybeans
113.44,20.6,57.95,32.6,86.64,6.68,89.48,watermelon
95.09,61.77,84.5,25.47,61.31,6.43,78.08,maize
16.74,84.52,68.85,32.68,58.63,6.94,67.89,pigeonpeas
99.87,65.07,77.86,19.14,72.5,5.92,113.88,maize
35.88,47.17,54.0,29.95,83.97,6.33,73.26,mungbean
10.95,34.46,184.8,8.56,90.54,5.6,158.89,apple
18.8,90.93,90.72,20.22,29.9,5.5,91.99,kidneybeans
24.21,155.74,180.5,38.32,81.8,6.31,102.41,grapes
74.85,36.53,53.67,38.67,90.1,6.74,148.7,papaya
80.39,86.37,53.18,35.4,94.16,5.96,181.16,banana
89.46,78.03,87.77,25.66,53.4,7.47,110.33,maize
99.87,46.66,53.07,34.17,92.74,5.87,217.58,rice
34.9,67.86,21.85,25.29,67.44,6.49,66.02,blackgram
36.71,71.5,84.71,15.87,21.57,6.27,90.7,kidneybeans
15.26,29.07,163.53,0.73,93.03,6.09,129.87,apple
33.95,43.82,51.88,28.34,35.21,3.93,70.29,mothbeans
108.85,32.76,24.46,16.02,88.52,6.47,182.66,coffee
57.3,43.56,48.01,33.57,72.97,5.08,79.02,blackgram
19.91,46.93,66.67,24.88,31.18,5.42,54.05,mothbeans
21.45,73.26,30.28,24.42,18.99,6.22,67.52,lentil
87.77,43.35,62.61,27.98,88.63,6.63,175.7,jute
15.61,78.2,72.43,23.63,40.6,6.08,98.26,pigeonpeas
84.77,71.46,42.11,37.51,77.95,5.57,143.79,banana
26.46,62.08,35.59,29.95,17.52,7.01,45.84,lentil
96.21,47.05,54.13,31.34,94.91,6.2,22.61,muskmelon
104.93,12.25,40.96,31.2,83.33,6.16,76.27,watermelon
31.88,78.67,36.73,31.93,87.42,7.05,51.13,mungbean
100.31,69.92,54.75,19.01,97.54,6.39,152.31,coffee
136.9,60.69,55.74,30.83,83.59,7.73,74.83,cotton
38.1,144.67,240.87,36.27,81.24,5.55,62.13,grapes
65.25,50.98,87.63,28.48,73.9,6.46,67.04,maize
19.02,46.58,160.43,16.63,90.39,6.41,116.39,apple
27.25,32.15,59.6,18.63,90.32,6.41,171.88,pomegranate
138.78,41.53,29.58,37.29,71.9,6.32,75.5,cotton
17.17,38.48,36.1,26.7,63.82,6.11,93.87,mango
11.22,84.51,74.18,26.76,56.64,6.6,84.42,pigeonpeas
38.61,40.41,22.45,27.62,65.42,6.58,77.06,blackgram
16.13,28.8,37.17,39.93,64.41,6.47,152.24,mango
20.52,17.24,42.49,21.95,90.62,7.06,114.03,pomegranate
97.08,88.76,77.14,34.62,82.79,6.29,106.61,banana
36.66,78.57,65.48,24.66,48.3,6.31,64.79,pigeonpeas
39.78,57.22,46.23,27.46,19.84,6.6,46.39,lentil
26.75,65.84,64.93,28.51,44.17,3.79,75.76,mothbeans
55.12,10.32,40.37,34.21,92.44,6.02,168.69,papaya
105.24,64.33,28.94,44.31,58.54,7.92,64.55,cotton
11.21,17.76,11.91,32.86,90.46,6.97,141.32,orange
29.65,23.38,53.86,36.39,93.79,6.05,110.3,pomegranate
14.97,28.63,21.67,23.46,92.27,6.31,100.37,orange
70.83,23.09,49.69,28.38,93.87,6.13,145.38,papaya
99.47,41.23,41.12,32.19,94.21,6.98,263.01,rice
3.64,14.55,170.55,16.2,93.56,5.77,107.96,apple
10.74,10.34,191.96,0.8,94.7,6.84,153.55,apple
93.07,21.58,60.95,25.27,90.59,6.18,50.99,muskmelon
12.0,199.88,181.74,38.9,81.83,6.76,93.82,grapes
103.55,13.57,57.24,26.8,89.87,6.34,118.74,watermelon
15.45,13.31,29.55,12.7,94.66,7.37,152.54,orange
16.45,95.56,79.8,19.73,65.87,5.78,80.96,pigeonpeas
60.85,50.1,45.78,27.73,98.11,6.04,171.98,jute
12.43,59.7,59.61,25.52,36.16,6.97,63.92,mothbeans
19.87,16.33,184.41,3.2,92.13,5.87,174.84,apple
101.76,63.84,47.18,18.1,97.02,6.28,181.03,coffee
19.59,13.35,37.89,27.39,90.57,6.48,118.85,coconut
28.5,59.91,32.34,29.63,78.27,7.24,96.37,blackgram
36.8,85.46,70.68,31.35,53.48,6.38,62.79,pigeonpeas
10.9,72.32,98.19,14.04,31.51,6.95,63.76,chickpea
58.46,60.04,48.0,27.72,74.17,6.7,72.7,blackgram
22.49,155.91,221.93,10.65,81.13,6.9,118.59,grapes
55.93,33.2,77.92,26.38,92.54,6.33,150.83,papaya
22.01,41.58,40.76,30.41,68.4,6.53,70.11,blackgram
32.89,45.06,58.94,25.37,58.14,4.52,41.32,mothbeans
89.58,62.98,66.23,25.74,86.68,6.14,232.37,coffee
53.04,29.03,64.11,44.72,94.69,6.86,188.91,papaya
56.69,52.2,24.3,34.01,69.4,6.31,87.91,blackgram
85.29,49.01,46.07,21.35,92.53,5.98,177.98,rice
11.27,30.22,61.49,27.77,93.17,6.91,142.77,pomegranate
47.3,57.26,32.87,27.86,76.53,5.57,87.69,blackgram
30.88,46.54,39.86,32.87,73.9,5.04,89.15,blackgram
90.94,53.93,89.09,25.71,57.08,5.65,70.19,maize
77.35,41.96,48.48,29.53,80.68,6.06,243.88,rice
78.06,54.91,83.84,29.79,56.62,5.66,100.83,maize
